ensemble_geneid	gene_name	GuineaPig_ESF1	GuineaPig_ESF2	GuineaPig_ESF3	GuineaPig_SF1	GuineaPig_SF2	GuineaPig_SF3
ENSCPOG00000026321	RILPL2	22.2798066479731	24.610773419573	26.1136717314574	33.9895591806116	39.545782572085	32.2508944735249
ENSCPOG00000026322	SAFB	44.5291339359264	42.0073970245203	46.2450230895556	42.2882165047821	38.3979085852717	42.7879862086567
ENSCPOG00000026323		0.0688437567476004	0	0	0.400179823840622	0	0.333564215890814
ENSCPOG00000026325	PIGT	79.2208607879069	102.189732485087	96.2033234728587	85.8478388134617	87.861783093333	80.0279485507457
ENSCPOG00000026326		0	0	0	0	0	0
ENSCPOG00000026327	ASPDH	0	0.124207219853635	0	0.0989918511605214	0	0
ENSCPOG00000026328		0	0	0	0	0	0
ENSCPOG00000026329	PLEKHB2	32.3855850128111	27.6207893835912	29.8924794154994	38.2073032708237	39.7439809020457	32.3392751011803
ENSCPOG00000026330		42.2438212225468	37.5790582764509	36.6894634525707	38.9682438138376	54.7446791687349	54.8943010772621
ENSCPOG00000026333	CASP1	0	0	0	0	0	0
ENSCPOG00000026334	RPL18	709.880483574277	769.103748479872	934.05965843794	1300.28268963113	1360.74150333244	1303.79028388508
ENSCPOG00000026335	MCFD2	89.9983945826549	76.8933172973407	85.682087443475	110.048126457357	105.60433951377	98.4257430677506
ENSCPOG00000026336		0.441644119116863	0.436196919011026	0.155628205114215	0.668546862102583	0.496113804221456	0.534967443873716
ENSCPOG00000026337	EFHD1	0	0	0	0	0.17273929486903	0.155222951949056
ENSCPOG00000026338		9.41281910439556	10.4588124898956	13.4335437050693	16.9917262701727	16.9179818490413	21.9722792210344
ENSCPOG00000026339	MEIG1	0.654402451780754	0	0	0.316996377311966	0	0.704607557162096
ENSCPOG00000026341	ONECUT1	0.0835008146358475	0.228381017149391	0.0706183898475482	0.182017274714693	0	0
ENSCPOG00000026342	MOB2	16.5101450477051	15.8841925389634	16.6994384710155	20.9786576882743	20.1307716713677	16.8834810812431
